A,B,C,D
1,16,-4.97,178.03
2,18,-3.85,202.33
3,8,-2.97,82.27
4,22,-1.91,250.1
5,6,-0.89,58.35
6,30,0.24,346.27
7,12,1.27,130.1
8,9,2.06,94.14
9,21,3.26,238.05
10,1,4.32,-1.88
11,20,5.01,226.1
12,26,6.19,298.27
13,21,7.2,238.32
14,3,8.02,22.35
15,15,9.08,166
16,12,10.3,130.27
17,2,11.02,10.16
18,6,12.11,58.16
19,15,13.24,166.36
20,14,14.25,154.31
21,29,15.06,334.34
22,1,16.24,-1.93
23,22,17.05,250.29
24,8,18,82.25
25,5,19.15,46.27
26,39,20.2,454.2
27,28,21.14,322.24
28,6,22.12,57.98
29,17,23.27,190.16
30,15,24.02,166.04
31,0,25.23,-13.96
32,28,26.16,322.3
33,30,26.98,346.29
34,21,28.06,238.32
35,1,29.03,-1.99
36,30,30.02,346.15
37,4,31.23,34.23
38,31,32.29,358.3
39,23,32.98,262.19
40,1,34.06,-1.85
41,39,34.98,454.32
42,5,36.27,46.1
43,29,37.17,334.1
44,13,38.3,142.1
45,39,39.23,454.07
46,2,40.14,10.12
47,12,41.1,130.37
48,29,42.01,334.2
49,21,43.16,238.13
50,35,44.1,406.21
51,4,45.09,34.13
52,39,46.07,454.02
53,11,47.36,118.13
54,24,48.01,273.98
55,28,49,322.23
56,38,50.35,442.31
57,4,51.07,34.04
58,35,52.36,405.99
59,9,53.1,94.18
60,24,54.05,274.3
61,39,55.09,454.33
62,15,56.08,166.02
63,11,57.2,118.33
64,19,58.36,214.36
65,11,59.16,118.31
66,36,60.14,418.28
67,22,61.18,250.37
68,20,62.05,226.27
69,21,63.15,237.99
70,33,63.99,381.98
71,17,65.31,190.1
72,13,66.06,142.12
73,9,67.09,94.26
74,4,68.28,34.16
75,35,68.99,406.35
76,28,70.28,322.03
77,10,71.02,106.16
78,9,72.22,94.23
79,30,73.35,346
80,24,74.29,274.02
81,24,75.06,274.27
82,28,77,322.11
83,37,77.01,430.21
84,0,78.21,-13.83
85,23,79,262.04
86,24,80.37,274.32
87,6,81.02,58.02
88,10,82.12,106.03
89,26,82.98,298.26
90,24,84,274.02
91,7,85.36,70.18
92,15,86.25,166.07
93,21,87.14,238.02
94,36,88.15,418.25
95,15,88.98,166.19
96,22,90.14,250.18
97,8,91.13,82.15
98,5,92.15,46.29
99,2,93.02,10.21
100,30,94.26,346.24
