A,B,C,D,E,F
5,56.4,1,-30.53,38.2522,11.6949
3,46.05,6,44.56,-22.6996,-44.5503
13,96.01,22,284.37,-1.31512,-2.69638
34,201.3,1,-30.55,-18.4116,-37.7493
21,136.39,30,404.24,-79.5118,-15.4555
18,121.13,9,89.17,-51.4257,-12.8219
12,91.39,9,89.47,65.4881,49.3488
18,121.52,16,194.37,76.2103,44
2,41.39,31,419.2,6.33968,22.109
32,191.13,24,314.32,-60.6769,-47.4059
1,36.39,11,119.47,33.5954,65.9345
0,31.43,21,269.38,15.0351,5.47232
13,96.44,22,284.38,13.435,13.435
7,66.18,25,329.15,40.9941,87.9118
39,226.38,36,494.52,53.6826,79.5876
18,121.34,5,29.19,49.7423,33.5515
0,31.37,37,509.5,39.9996,34.7711
8,71.24,25,329.08,31.0859,25.1728
33,196.44,18,224.27,12.6548,34.7686
30,181.06,36,494.15,-12.3128,-33.8289
22,141.32,22,284.04,35.3833,10.8177
39,226.06,14,164.45,1.26786,2.71892
6,61,7,59.48,-14.8845,-51.9081
8,71.37,7,59.23,-13.5848,-11.8091
33,196.5,25,329.06,18.3686,13.8417
6,61.22,37,509.18,63.8473,35.3911
3,46.01,15,179.27,70.4483,45.7496
10,81.08,14,164.46,-55.1544,-55.1543
28,171.27,12,134.04,-9.19254,-7.71345
36,211.38,0,-45.5,40.8954,13.2877
15,106.06,21,269.29,-49.0814,-9.54044
18,121.03,30,404.31,-86.9877,-29.9522
24,151.55,5,29.35,-17.3274,-37.1586
19,126.36,2,-15.8,-22.9269,-33.9905
30,181.24,4,14.27,74.1747,29.9685
26,161.13,17,209.44,58.6889,12.4747
33,196.36,25,329.12,-35.5877,-88.0824
21,136.06,3,-0.84,32.7359,35.105
39,226.56,14,164.5,25.3096,69.5372
4,51.42,32,434.06,41.8773,21.3375
28,171.22,0,-45.78,-26.8413,-39.7938
25,156.34,20,254.47,30.0462,56.5086
36,211.23,6,44.56,-30.9291,-89.8242
14,101.33,25,329.37,8.93292,1.09682
5,56.03,37,509.34,6.87139,1.33566
1,36.12,22,284.39,30.8082,11.8261
3,46.35,16,194.52,-54.3785,-25.3571
32,191.13,6,44.47,-26.0312,-58.4669
17,116.39,39,539.11,34.8196,23.4861
26,161.44,15,179.32,51.8319,55.5828
32,191.06,17,209.11,-88.6613,-7.75685
32,191.43,20,254.45,-76.8165,-40.844
29,176.14,9,89.52,81.5922,32.9654
39,226.34,39,539.15,63.214,65.4599
27,166.47,0,-45.89,3.00908,3.99318
36,211.34,18,224.43,41.7227,10.4026
28,171.53,28,373.98,3.15204,2.46264
14,101.5,31,419.32,18.8747,9.20579
5,55.97,8,74.13,-69.6165,-7.31699
18,121.55,1,-30.93,-47.4907,-29.6755
